MerchantName,MerchantEmail,TimeZone
Bahia City Store,bahia@mailinator.com ,"Bahía de Banderas, Nayarit, Mexico"
Cancun City Store,cancun@mailinator,"Cancún, Sinaloa, Mexico"
Chihuahua City Store,chihuahua@mailinator.com,"Chihuahua, Ciudad Juárez, Chihuahua, Mexico"
Hermosillo City Store,hermosillo@mailinator.com ,"Hermosillo, Sonora, Mexico"
Matamoros City Store,matamoros@mailinator.com ,America/Matamoros
Mazatlan City Store,mazatlan@mailinator.com ,America/Mazatlan
Merida City Store,merida@mailinator.com ,America/Merida
Mexico City Store,mexicocity@mailinator.com ,America/Mexico_City
Monterrey City Store,monterrey@mailinator.com ,America/Monterrey
Ojinaga City Store,ojinago@mailinator.com ,America/Ojinaga
Tijuana City Store,tijuana@mailinator.com ,America/Tijuana
