ales Reporting,Reports,span,y,0,,,
Overall Sales,Reports>Sales Reporting,a,y,0,,,
Sales By Route,Reports>Sales Reporting,a,y,0,,,
Financials Reporting,Reports,span,y,0,,,
Average Order Report,Reports>Financials Reporting,a,y,0,,,
Credits Report,Reports>Financials Reporting,a,y,0,,,
Effective Margin Report,Reports>Financials Reporting,a,y,0,,,
Financials Export,Reports>Financials Reporting,a,y,0,,,
No Payment Customers,Reports>Financials Reporting,a,y,0,,,
Past Due Customers,Reports>Financials Reporting,a,n,0,,,
Payments On Review,Reports>Financials Reporting,a,y,0,,,
Payments Posted Report,Reports>Financials Reporting,a,y,0,,,
Profit Report,Reports>Financials Reporting,a,y,0,,,
Recent Payments Report,Reports>Financials Reporting,a,y,0,,,
Show Currently Owed,Reports>Financials Reporting,a,n,0,,,
Taxes Report,Reports>Financials Reporting,a,y,0,,,
Product Reporting,Reports,span,y,0,,,
Bagged Items Report,Reports>Product Reporting,a,y,0,,,
Customized Products,Reports>Product Reporting,a,y,0,,,
Dislikes Report,Reports>Product Reporting,a,y,0,,,
Forecast,Reports>Product Reporting,a,y,0,,,
Inventory,Reports>Product Reporting,a,y,0,,,
Product Reporting,Reports,span,y,0,,,
Load Sheet Report,Reports>Product Reporting,a,y,0,,,
Out Of Stock Report,Reports>Product Reporting,a,y,0,,,
Substitutions Report,Reports>Product Reporting,a,y,0,,,
Customer Reporting,Reports,span,y,0,,,
Abandoned Signups,Reports>Customer Reporting,a,y,0,,,
Customer Count Report,Reports>Customer Reporting,a,y,0,,,
Customer Orders Count,Reports>Customer Reporting,a,y,0,,,
Deposit Report,Reports>Customer Reporting,a,y,0,,,
Followup Report,Reports>Customer Reporting,a,y,0,,,
Friend Referral Report,Reports>Customer Reporting,a,y,0,,,
Minimum Order Report,Reports>Customer Reporting,a,y,0,,,
Negative Balances,Reports>Customer Reporting,a,y,0,,,
New Customers,Reports>Customer Reporting,a,y,0,,,
No Order Customers Report,Reports>Customer Reporting,a,y,0,,,
No Payment Customers,Reports>Customer Reporting,a,y,1,,,
Customer Reporting,Reports,span,y,0,,,
On Hold Report,Reports>Customer Reporting,a,y,0,,,
Past Due Customers,Reports>Customer Reporting,a,y,1,,,
Customer Reporting,Reports,span,y,0,,,
Recurring Order Report,Reports>Customer Reporting,a,y,0,,,
Retention Report,Reports>Customer Reporting,a,y,0,,,
Show Inactive Customers,Reports>Customer Reporting,a,y,0,,,
Top Customers,Reports>Customer Reporting,a,y,1,,,
Total Customers Report,Reports>Customer Reporting,a,y,0,,,
Vacation Report,Reports>Customer Reporting,a,y,0,,,
Misc. Reporting,Reports,span,y,0,,,
Birthday Report,Reports> Misc. Reporting,a,y,0,,,
Contact Us Report,Reports> Misc. Reporting,a,y,0,,,
Coupon Usage,Reports> Misc. Reporting,a,y,0,,,
Donations Report,Reports> Misc. Reporting,a,n,0,,,
Missing Orders,Reports> Misc. Reporting,a,y,0,,,
Tips & Donations Report,Reports> Misc. Reporting,a,y,0,,,
Coupons,Marketing Tools,span,y,0,,,
Coupon Events,Marketing Tools,span,y,0,,,
Countdown Products,Marketing Tools,span,y,0,,,
Global Discounts,Marketing Tools,span,y,0,,,
Featured Products,Marketing Tools,span,y,0,,,
Sale Items,Marketing Tools,span,y,0,,,
Manage Cross-Selling,Marketing Tools,span,y,0,,,
First Time Order Specials,Marketing Tools,span,y,0,,,
Search Orders,Order History,span,y,0,,,
Today's Orders,Order History,span,y,0,,,
This Week's Orders,Order History,span,y,0,,,
Next Week's Orders,Order History,span,y,0,,,
Create Purchase Order,Purchase Orders,span,y,0,,,
View Purchase Orders,Purchase Orders,span,y,0,,,
Autoresponders,Customer Communication,span,y,0,,,
General News List,Customer Communication,span,y,0,,,
Marketing,Customer Communication,span,y,0,,,
"Product Sales, Promotions, and Featured Product Events",Customer Communication,span,y,0,,,
Unsubscribers,Customer Communication,span,y,0,,,
Edit Static Pages,Content Management,span,y,0,,,
Manage Files,Content Management,span,y,0,,,
Recipes,Content Management,span,n,0,,,
301 Redirects,Content Management,span,y,0,,,
FAQ,Content Management,span,n,0,,,
Company Settings,Settings,span,y,0,,,
States/Counties,Settings,span,y,0,,,
Taxes,Settings,span,y,0,,,
Taxing Zones,Settings,a,y,0,,,
Taxing System,Settings,a,y,0,,,
Minimum Orders Settings,Settings,span,y,0,,,
Zip Codes,Settings,span,y,0,,,
Fees,Settings,span,y,0,,,
App Settings,Driver App,span,n,0,,,
Driver Log Report,Driver App,span,n,0,,,
Settings,DBP Settings,span,y,0,,,
Store Locations,DBP Settings>Settings,a,y,0,,,
DBP Settings,DBP Settings>Settings,a,y,0,,,
DBP Billing,DBP Settings>Settings,a,y,0,,,
Countries,DBP Settings>Settings,a,y,0,,,
States,DBP Settings>Settings,a,y,0,,,
Settings,DBP Settings,span,y,0,,,
Export/Import Cities,DBP Settings>Settings,a,y,0,,,
Summary,DBP Settings>Settings,a,y,0,,,
Credit card types,DBP Settings>Settings,a,y,0,,,
General Settings,DBP Settings>Settings,a,y,0,,,
Languages,DBP Settings>Settings,a,y,0,,,
Modules,DBP Settings>Settings,a,y,0,,,
Payment Methods,DBP Settings>Settings,a,y,0,,,
Clear templates cache,DBP Settings>Settings,a,y,0,,,
System Logs,DBP Settings,span,y,0,,,
DBP Overview,DBP Settings>System Logs,a,y,0,,,
Inventory,DBP Settings>System Logs,a,y,1,,,
Tasks,DBP Settings>System Logs,a,y,0,,,
Periodic tasks,DBP Settings>System Logs,a,y,0,,,
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id ='firstname'],FirstName
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='lastname'],LastName
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='Company'],Company
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='refer_friend_name'],Who refered you
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='birthday'],Birthday
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='phone'],Phone
,User Management>Customers>Create Customer Profile,,,,:xpath,//input[@id='email'],Email
