Dashboard,1.87367582321167,[#<Selenium::WebDriver::LogEntry:0x00007f8ed072b260 @level="WARNING", @timestamp=1619807139275, @message="https://kappers.client-staging.deliverybizpro.com/admin/login 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed072b238 @level="WARNING", @timestamp=1619807139275, @message="https://kappers.client-staging.deliverybizpro.com/admin/login 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed072b210 @level="WARNING", @timestamp=1619807147267, @message="https://kappers.client-staging.deliverybizpro.com/admin/home.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed072b1e8 @level="WARNING", @timestamp=1619807147294, @message="https://kappers.client-staging.deliverybizpro.com/admin/home.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed072b1c0 @level="WARNING", @timestamp=1619807149564, @message="https://kappers.client-staging.deliverybizpro.com/admin/home.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed072b198 @level="WARNING", @timestamp=1619807149564, @message="https://kappers.client-staging.deliverybizpro.com/admin/home.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Customers,1.0642621517181396,[]
Search for Customers,2.186047077178955,[#<Selenium::WebDriver::LogEntry:0x00007f8ed0466ac0 @level="WARNING", @timestamp=1619807177431, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 14 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed0466a98 @level="WARNING", @timestamp=1619807177431, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 14 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed0466a70 @level="WARNING", @timestamp=1619807177996, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 - [DOM] Found 2 elements with non-unique id #frm-users-search: (More info: https://goo.gl/9p2vKq) %o %o">, #<Selenium::WebDriver::LogEntry:0x00007f8ed04669f8 @level="WARNING", @timestamp=1619807177996, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 - [DOM] Found 2 elements with non-unique id #posted_data[orders_count_type]: (More info: https://goo.gl/9p2vKq) %o %o">]
Create Customer Profile,2.6273751258850098,[#<Selenium::WebDriver::LogEntry:0x00007f8eb6095730 @level="WARNING", @timestamp=1619807185902, @message="https://kappers.client-staging.deliverybizpro.com/admin/user_add.php?usertype=C 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8eb6095690 @level="WARNING", @timestamp=1619807185902, @message="https://kappers.client-staging.deliverybizpro.com/admin/user_add.php?usertype=C 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Import Customers,1.852506160736084,[#<Selenium::WebDriver::LogEntry:0x00007f8eb5186f78 @level="WARNING", @timestamp=1619807194545, @message="https://kappers.client-staging.deliverybizpro.com/admin/customers_import.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8eb5186f50 @level="WARNING", @timestamp=1619807194545, @message="https://kappers.client-staging.deliverybizpro.com/admin/customers_import.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Export Customers,2.552626132965088,[#<Selenium::WebDriver::LogEntry:0x00007f8ed05a6fc0 @level="WARNING", @timestamp=1619807202738, @message="https://kappers.client-staging.deliverybizpro.com/admin/router.php?r=export-users#/export-users 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed05a6f70 @level="WARNING", @timestamp=1619807202739, @message="https://kappers.client-staging.deliverybizpro.com/admin/router.php?r=export-users#/export-users 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Export Customer Emails,1.4283878803253174,[#<Selenium::WebDriver::LogEntry:0x00007f8ed05dc2b0 @level="WARNING", @timestamp=1619807211461, @message="https://kappers.client-staging.deliverybizpro.com/admin/export_users_emails.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed05dc288 @level="WARNING", @timestamp=1619807211461, @message="https://kappers.client-staging.deliverybizpro.com/admin/export_users_emails.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Edit/Create Membership Levels,1.6484310626983643,[#<Selenium::WebDriver::LogEntry:0x00007f8ed0626158 @level="WARNING", @timestamp=1619807219175, @message="https://kappers.client-staging.deliverybizpro.com/admin/memberships.php?usertype=C 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed0626130 @level="WARNING", @timestamp=1619807219175, @message="https://kappers.client-staging.deliverybizpro.com/admin/memberships.php?usertype=C 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Customer Notes,1.6592600345611572,[#<Selenium::WebDriver::LogEntry:0x00007f8ed0675898 @level="WARNING", @timestamp=1619807227194, @message="https://kappers.client-staging.deliverybizpro.com/admin/customer_notes.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed0675870 @level="WARNING", @timestamp=1619807227195, @message="https://kappers.client-staging.deliverybizpro.com/admin/customer_notes.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Administrators,1.0712671279907227,[]
Search for Admins,1.5397861003875732,[#<Selenium::WebDriver::LogEntry:0x00007f8ed06c5708 @level="WARNING", @timestamp=1619807242368, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=P&refresh=1 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed06c56e0 @level="WARNING", @timestamp=1619807242368, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=P&refresh=1 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed06c56b8 @level="WARNING", @timestamp=1619807242506, @message="https://kappers.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=P&refresh=1 - [DOM] Found 2 elements with non-unique id #frm-users-search: (More info: https://goo.gl/9p2vKq) %o %o">]
Create Admin Profile,1.5682706832885742,[#<Selenium::WebDriver::LogEntry:0x00007f8ec5865618 @level="WARNING", @timestamp=1619807250199, @message="https://kappers.client-staging.deliverybizpro.com/admin/user_add.php?usertype=P 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ec58655f0 @level="WARNING", @timestamp=1619807250200, @message="https://kappers.client-staging.deliverybizpro.com/admin/user_add.php?usertype=P 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Access Control,1.4711003303527832,[#<Selenium::WebDriver::LogEntry:0x00007f8ed06db030 @level="WARNING", @timestamp=1619807257993, @message="https://kappers.client-staging.deliverybizpro.com/admin/access_control.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007f8ed06db008 @level="WARNING", @timestamp=1619807257993, @message="https://kappers.client-staging.deliverybizpro.com/admin/access_control.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
