Dashboard,Navigation>,span,y,0
Full Price Store,Navigation>,span,n,0
Full Price Store,Navigation>Full Price Store,a,n,0
Low Cost Store,Navigation>Full Price Store,a,n,0
Customers,User Management,span,y,0
Search for Customers,User Management>Customers,a,y,0
Create Customer Profile,User Management>Customers,a,y,0
Import Customers,User Management>Customers,a,y,0
Export Customers,User Management>Customers,a,y,0
Export Customer Emails,User Management>Customers,a,y,0
Edit/Create Membership Levels,User Management>Customers,a,y,0
Customer Notes,User Management>Customers,a,y,0
Administrators,User Management,span,y,0
Search for Admins,User Management>Administrators,a,y,0
Create Admin Profile,User Management>Administrators,a,y,0
Access Control,User Management>Administrators,a,y,0
Edit/Create Membership Levels,User Management>Administrators,a,y,1
Sales,User Management,span,n,0
Search for Sales,User Management>Sales,a,n,0
Create Sales Profile,User Management>Sales,a,n,0
Overview,User Management>Sales,a,n,0
Report,User Management>Sales,a,n,0
Drivers,User Management>,span,y,0
Search for Drivers,User Management>Drivers,a,y,0
Create Driver Profile,User Management>Drivers,a,y,0
Edit/Create Membership Levels,User Management>Drivers,a,y,2
Suppliers,User Managment,span,y,0
Search for Suppliers,User Management>Supplier,a,y,0
Create Supplier Profile,User Management>Supplier,a,y,0
Edit/Search Products,Products,span,y,0
Add New Product,Products,span,y,0
Import products,Products,span,y,0
Export products,Products,span,y,0
Product Categories,Products,span,y,0
Extra fields,Products,span,y,0
Product Dislikes,Products,span,n,0
Warehouse Locations,Products,span,y,0
Product Flags,Products,span,n,0
Change/Assign Routes,Route Management,span,y,0
Create/Edit Routes,Route Management,span,y,0
GPS Import/Export,Route Management,span,y,0
Organize Route Stops,Route Management,span,y,0
Pickup Locations,Route Management,span,y,0
Organize Pickup Locations,Route Management,span,y,0
Manage KML File,Route Management,span,y,0
Display Route/KML Issues,Route Management,span,y,0
Organize Load Sheet,Route Management,span,y,0
Print Route Sheets,Route Management,span,y,0
Print Bag Labels,Route Management,span,y,0
Show Invalid Addresses,Route Management,span,y,0
Billing,Billing,span,y,0
Paper/Email Billing,Billing>Billing,a,y,0
Electronic Billing,Billing>Billing,a,y,0
Mass Update Payments,Billing,span,y,0
Mass Deposit Returns/Charges,Billing,span,y,0
Global Invoice Notes,Billing,span,y,0
View GC Purchase Log,Billing,span,y,0
Sales Reporting,Reports,span,y,0
Top Customers,Reports>Sales Reporting,a,y,0
Countdown Sales Report,Reports>Sales Reporting,a,y,0
Cross-Selling Report,Reports>Sales Reporting,a,y,0
Discount Coupon Report,Reports>Sales Reporting,a,y,0
Manage Cross-Selling,Reports>Sales Reporting,a,y,0
Ordered Products Reports,Reports>Sales Reporting,a,y,0
Overall Sales,Reports>Sales Reporting,a,y,0
Sales By Route,Reports>Sales Reporting,a,y,0
Financials Reporting,Reports,span,y,0
Average Order Report,Reports>Financials Reporting,a,y,0
Credits Report,Reports>Financials Reporting,a,y,0
Effective Margin Report,Reports>Financials Reporting,a,y,0
Financials Export,Reports>Financials Reporting,a,y,0
