Dashboard,1.8989348411560059,[#<Selenium::WebDriver::LogEntry:0x00007ffca57a2818 @level="WARNING", @timestamp=1620139740488, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/login 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a27c8 @level="WARNING", @timestamp=1620139740496, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/login 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a27a0 @level="WARNING", @timestamp=1620139743112, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/login 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a2778 @level="WARNING", @timestamp=1620139743112, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/login 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a2700 @level="WARNING", @timestamp=1620139747083, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/home.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a26d8 @level="WARNING", @timestamp=1620139747084, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/home.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a26b0 @level="WARNING", @timestamp=1620139749418, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/home.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57a2688 @level="WARNING", @timestamp=1620139749418, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/home.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Customers,1.0624220371246338,[]
Search for Customers,2.0967719554901123,[#<Selenium::WebDriver::LogEntry:0x00007ffc77893f98 @level="WARNING", @timestamp=1620139775161, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 14 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffc77893f70 @level="WARNING", @timestamp=1620139775161, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 14 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffc77893f48 @level="WARNING", @timestamp=1620139775685, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 - [DOM] Found 2 elements with non-unique id #frm-users-search: (More info: https://goo.gl/9p2vKq) %o %o">, #<Selenium::WebDriver::LogEntry:0x00007ffc77893f20 @level="WARNING", @timestamp=1620139775685, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=C&refresh=1&sort=last_login&sort_direction=1 - [DOM] Found 2 elements with non-unique id #posted_data[orders_count_type]: (More info: https://goo.gl/9p2vKq) %o %o">]
Create Customer Profile,3.2224771976470947,[#<Selenium::WebDriver::LogEntry:0x00007ffc778f4fa0 @level="WARNING", @timestamp=1620139782502, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/user_add.php?usertype=C 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffc778f4f78 @level="WARNING", @timestamp=1620139782502, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/user_add.php?usertype=C 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Import Customers,3.1449782848358154,[#<Selenium::WebDriver::LogEntry:0x00007ffc77957740 @level="WARNING", @timestamp=1620139791162, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/customers_import.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffc77957718 @level="WARNING", @timestamp=1620139791162, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/customers_import.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Export Customers,2.618671178817749,[#<Selenium::WebDriver::LogEntry:0x00007ffcb5090768 @level="WARNING", @timestamp=1620139799298, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/router.php?r=export-users#/export-users 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffcb50906f0 @level="WARNING", @timestamp=1620139799298, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/router.php?r=export-users#/export-users 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Export Customer Emails,1.3559198379516602,[#<Selenium::WebDriver::LogEntry:0x00007ffca53f9f90 @level="WARNING", @timestamp=1620139807133, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/export_users_emails.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca53f9f68 @level="WARNING", @timestamp=1620139807133, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/export_users_emails.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Edit/Create Membership Levels,1.7294979095458984,[#<Selenium::WebDriver::LogEntry:0x00007ffca54eb0e8 @level="WARNING", @timestamp=1620139813761, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/memberships.php?usertype=C 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca54eaff8 @level="WARNING", @timestamp=1620139813761, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/memberships.php?usertype=C 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Customer Notes,1.561034917831421,[#<Selenium::WebDriver::LogEntry:0x00007ffca561bcd8 @level="WARNING", @timestamp=1620139820879, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/customer_notes.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca561bc60 @level="WARNING", @timestamp=1620139820879, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/customer_notes.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Administrators,1.0643362998962402,[]
Search for Admins,1.5017948150634766,[#<Selenium::WebDriver::LogEntry:0x00007ffca5709938 @level="WARNING", @timestamp=1620139833876, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=P&refresh=1 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca5709910 @level="WARNING", @timestamp=1620139833876, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=P&refresh=1 7 The key \"-ms-touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57098e8 @level="WARNING", @timestamp=1620139834049, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/users.php?mode=search&usertype=P&refresh=1 - [DOM] Found 2 elements with non-unique id #frm-users-search: (More info: https://goo.gl/9p2vKq) %o %o">]
Create Admin Profile,1.5123538970947266,[#<Selenium::WebDriver::LogEntry:0x00007ffca5779058 @level="WARNING", @timestamp=1620139840634, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/user_add.php?usertype=P 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca5779030 @level="WARNING", @timestamp=1620139840634, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/user_add.php?usertype=P 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
Access Control,1.370206356048584,[#<Selenium::WebDriver::LogEntry:0x00007ffca57e83e0 @level="WARNING", @timestamp=1620139847350, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/access_control.php 7 The key \"touch-action:\" is not recognized and ignored.">, #<Selenium::WebDriver::LogEntry:0x00007ffca57e83b8 @level="WARNING", @timestamp=1620139847350, @message="https://yellowbird.client-staging.deliverybizpro.com/admin/access_control.php 7 The key \"-ms-touch-action:\" is not recognized and ignored.">]
